cell_id,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30
Cell_11,3.790238598,3.523818119,3.622072782,4.271190516,3.787111659,1.480415313,1.013456244,0.779581044,0.629775238,2.195559528,0.546800209,6.264421776,1.359765585,1.265911388,1.77719622,3.840964594,0.635127057,1.924493597,1.857658085,2.679538287,0.898473888,2.518714283,0.57795659,0.156884501,1.184092387,2.420416311,1.273026288,1.354347963,1.895399551,1.807878539
Cell_12,6.618070806,3.849795865,3.971470165,6.877799372,4.790735487,3.181952577,0.749289802,2.548116908,2.56580774,0.14260815,1.497216998,1.360800498,2.321907042,1.372727809,6.98502517,4.344416843,1.927429709,1.45837236,0.31783579,1.376767618,1.278156189,6.618122149,1.829041209,2.747943286,0.643601215,2.350531638,0.026668983,3.146557823,0.487112621,0.324387403
Cell_13,3.738654351,4.868189764,4.27648093,3.338859742,4.623384693,0.997819102,0.577177098,1.335457495,1.046965393,1.342265258,6.726015761,0.332887748,3.401034576,0.300996002,1.400811063,1.012152317,1.834603596,0.817809608,1.093103759,1.072925902,1.199353291,1.276607555,1.031465168,0.827401063,0.936185417,1.438916687,1.46152262,0.591024082,0.418844631,0.132847168
Cell_14,8.135426271,3.609622966,3.705690591,5.798361692,3.374420011,0.67151508,2.562640228,1.133546388,5.386224693,2.05384845,0.255006274,1.278985117,0.143307657,1.870028501,0.72975502,1.83339542,3.938346455,3.817968555,1.004094057,2.272745124,0.829695335,1.394544446,0.173374125,0.49930184,1.902918238,0.112698347,1.272683289,1.370930018,1.953650048,0.174843528
Cell_15,2.775838498,5.395868625,4.737874198,4.153492197,3.386448594,0.785439629,0.342016014,2.486136853,0.243086124,0.938959099,2.289812808,1.970598214,0.741991474,1.992554823,2.292838566,1.317292612,1.718643564,0.95113524,2.860487918,1.081945438,0.211943667,1.795835501,0.364064236,3.162912788,1.671439741,0.077207338,2.377371652,1.499856245,2.11932239,1.218191498
Cell_16,5.480458547,3.979901122,5.436400479,4.83954376,2.714732999,0.111559464,0.871383239,0.495418106,0.076503726,0.288110208,0.996663954,0.482834754,5.862240707,0.586461961,2.935836736,3.939744504,0.692193676,0.631957726,0.708770595,0.994339776,0.808039847,0.302731972,1.578566285,0.805376489,6.014542141,2.50111242,0.817260781,1.917673464,1.857681576,2.772131779
Cell_17,4.096862428,3.391141378,3.264927265,4.480841153,3.885579533,0.713841658,2.696949275,1.917865745,0.820026725,2.296225292,1.804836897,3.386896071,2.016989099,0.995307952,1.332418815,1.611904279,0.791297283,1.3854895,1.217546089,2.011974427,5.410264098,1.457294395,3.834559958,1.954152187,1.380058035,0.747846636,1.389115505,1.31626459,0.56207204,0.661106189
Cell_18,4.940410417,6.308744434,4.668413303,3.025010258,3.366680222,2.111222967,0.258211092,2.385527248,2.019310267,1.062789659,0.5675413,0.925018841,1.589740512,0.269746882,3.524122837,1.577386294,1.732825138,2.007688141,3.271714581,1.392067564,2.112261409,0.577970601,4.393324221,1.310577583,0.574825395,0.74804755,0.084520988,0.743140741,0.018664531,2.237893067
Cell_19,3.584815483,3.170865243,3.880713725,4.388083722,3.046964713,0.943903199,1.195948308,0.9195323,0.574197242,0.384751069,0.888621139,0.652081639,1.90084735,3.424836022,2.477474081,1.232267358,0.598119864,2.425308248,1.995998613,3.246522827,1.393378393,4.225629788,1.393756781,0.595024723,0.718173726,1.827413219,0.650235738,4.204215048,1.704257865,1.208198418
Cell_20,3.490376411,4.032086349,3.007935992,3.354445415,6.870051969,1.426282945,2.702500071,2.762662884,1.125565108,2.022615726,0.157981318,3.598618462,3.382353273,1.785770034,1.471484157,1.139282213,2.947093811,2.214461024,0.817340938,0.327039966,0.252570734,2.923312922,1.116716954,1.76150809,1.25162654,0.257150298,0.163691233,0.762653067,0.829145509,0.828624711
Cell_21,2.962732971,8.464792498,5.579426859,4.310411535,4.567424848,1.126922119,2.150413389,1.081636486,2.462681603,1.582361443,5.188450392,1.022294458,2.819662923,0.365347293,0.614292968,4.695670631,2.381371611,1.788140586,1.105531336,2.814497797,2.97583821,3.969780141,0.31485341,1.09875153,1.559017351,3.921787558,1.728303001,2.980761366,0.27960212,0.873872583
Cell_22,6.104823128,4.118862601,4.118816532,8.483392971,3.714325057,0.603654659,0.241668388,3.990791559,2.632613422,2.58083028,0.849805214,0.21739013,0.139130295,3.391544557,1.88790476,2.193382857,1.497506699,0.527082808,0.88900425,0.39150767,0.334536031,2.466218387,0.159665333,0.394699991,0.940466478,1.284226676,0.237556676,1.710036818,1.425619039,3.34744402
Cell_23,3.733082949,5.733491021,4.082327883,3.609623237,3.054218495,0.566875381,0.876203194,3.099945238,0.477002553,5.356062592,1.993844134,1.673126921,1.214631163,1.014980627,0.662164491,0.224431031,0.496097199,3.983688557,1.895468821,3.957489834,0.644415044,0.378017714,1.203869605,0.5169674,1.437841075,0.163891459,0.066432483,1.619128008,4.066192617,1.680307259
Cell_24,4.216417978,4.465971481,4.021746678,2.769009446,3.926598363,3.075870106,0.857191723,3.028711201,1.326530585,1.386640593,0.863620908,2.110825574,2.535142093,0.506977544,0.238602173,0.09493301,1.805873428,1.638722508,6.462383391,1.257303279,1.063080194,1.479971814,1.549778086,0.987708525,0.525951251,1.197371289,1.156844717,1.139842707,2.291621254,1.177884538
Cell_25,4.018401213,3.386252336,4.37908994,4.335041115,5.016835368,1.237701834,0.06939614,0.287133918,1.942039172,0.950974537,1.334725882,0.839134492,0.62162294,0.869509162,1.348843024,1.169959838,2.522211074,0.185500397,0.225485244,0.940342754,1.854683931,2.19375566,0.648182058,0.009387617,0.670527359,1.64309587,1.150208147,1.910898378,2.995118793,1.003675752
Cell_26,3.341069502,3.342002555,2.675357909,2.536330606,3.842072276,2.688919928,2.062788193,0.715031853,5.392422298,0.627096408,3.213188871,3.796620328,1.737355165,0.577076327,0.814889087,1.37772912,0.232692641,0.400429802,0.361869201,1.847616213,2.973164929,2.128265752,2.607109461,0.525284779,0.851687964,0.916167295,1.731608529,0.600488228,2.483200367,3.718782352
Cell_27,4.543504131,3.357661242,2.869953536,2.606041644,2.092702635,0.943631768,0.892488681,2.364735305,0.643400105,0.995304422,1.499278766,1.781390629,2.154048952,1.373318633,0.251734198,1.653818553,0.595066859,3.080386483,1.189793752,1.446509016,6.836903063,2.184203311,1.628690815,1.02341612,0.280983636,0.955146173,0.468031101,4.059572002,1.646990511,2.995240271
Cell_28,3.679668527,2.193941601,5.251980576,3.678780972,3.705514623,4.202744432,0.786058058,0.207401198,0.111061092,0.172877291,3.130801284,0.666344592,6.685370365,3.750787075,4.951795983,2.659173592,1.93083156,0.487278772,1.16302563,2.092083093,2.532611266,0.31695841,0.969742826,1.079620637,1.040043268,0.373232975,4.533755095,0.938735869,0.406910923,4.61565597
Cell_29,6.790521838,4.182873333,3.844811806,3.259606546,5.464747785,0.68069068,1.137198815,4.318746319,0.629600972,1.749782773,2.205170767,3.057026744,1.061797065,0.960211825,0.938740735,1.610152606,3.635704461,0.897638992,0.01863979,2.405748089,1.240531139,1.817385129,0.161958009,0.683445763,2.252037435,0.268629475,1.746467148,1.128591352,0.539499465,0.492090387
Cell_30,4.143889811,4.985661808,3.968943949,4.192301672,3.602558234,1.704586252,2.440720395,1.971352485,5.098773321,0.980056514,3.370913603,0.598793044,0.49884011,1.30424505,3.948430026,0.87900702,0.161771312,2.404111237,1.084596257,1.520022111,0.528466295,1.293339254,0.20067533,4.585222959,2.765287347,1.241504498,2.351440099,0.600466305,2.670222859,0.841139615
Cell_31,3.458254661,2.966048794,4.498274084,3.662580973,5.758763806,0.354260394,1.693134389,2.976555603,1.389472647,0.825268519,1.358248949,3.246957645,3.245926667,1.043728371,3.203125547,1.142140242,2.330556053,1.862449509,0.792615993,0.427051986,3.037003798,3.702074982,1.659334171,1.140727082,0.300334875,2.977147228,1.500182768,0.90876617,2.383509289,0.233115676
Cell_32,3.634106914,3.593422569,4.828231438,4.834933986,4.897365703,2.822614934,2.054346779,4.657106239,2.817519522,1.041410871,0.678711109,1.071586193,2.112980403,0.756671796,2.160448251,1.965555592,0.419891414,2.776697286,1.610047914,4.491413827,1.145816551,0.868878828,0.358528153,0.351627338,2.523571995,4.161379624,1.05744609,0.993653636,1.243979207,2.925408699
Cell_33,3.839509275,4.074050598,5.196196323,4.802917149,6.123366319,1.810518755,3.368245751,3.918315239,3.241226982,1.250055772,0.150808655,0.98681364,1.214399258,4.122261686,0.534426348,0.242830114,0.761687718,0.567198694,0.211542876,1.079184886,1.257996427,0.194305231,0.863539053,0.528233572,1.295371551,1.412428558,0.528352725,2.757535406,1.189837606,0.556589752
Cell_34,3.819215624,5.028647354,4.120963394,3.791370481,4.74306581,3.91817564,2.428205468,0.044229691,0.549532696,1.030558195,1.251660489,1.358480496,1.712080719,1.063386329,1.187145252,2.528686283,1.505087962,0.316036335,1.287896824,1.033264763,0.085973024,1.347989399,0.37147332,2.558325258,1.691594238,0.293999604,2.467708791,3.409600707,0.916890575,1.027526515
Cell_35,6.322517805,5.37684385,3.500184586,3.872686661,4.00268637,0.864577773,2.227670783,3.231405606,3.41671177,0.129411213,0.494757435,0.636605779,0.492484702,1.687262392,1.861786677,1.173617268,1.073802775,0.810908103,0.908865764,3.885388268,2.092987105,0.841970007,1.054562658,1.720150357,0.293875439,1.327973915,2.000450647,1.79556355,0.505866468,0.616352789
Cell_36,2.393608238,5.301933323,8.361226271,3.517618718,5.463152177,4.817831116,0.732790656,1.055930269,1.462758278,1.748253219,1.532033361,0.792707468,1.975059406,0.811247751,1.623222011,1.135343794,0.108331119,3.12941941,0.634302682,3.369953252,2.719475813,1.424785604,1.824918769,2.011557245,0.966234118,1.010782015,1.93238823,1.146575348,0.79532337,0.515146153
Cell_37,4.259454002,3.8403019,5.029875436,5.201890084,4.743424265,2.138186472,1.817732152,2.262342835,2.185761898,1.588934558,2.746325517,0.999249144,0.532866849,0.503003142,0.864642128,0.083758577,1.412547671,2.033426026,2.500630875,0.149269192,0.521531305,2.311513906,0.969583677,1.996379078,0.274774863,3.339855961,0.24710451,1.37672684,1.408093088,0.712132919
Cell_38,4.840422328,5.321599331,4.045897331,3.051317403,3.374622008,0.77807759,0.484735708,2.844729015,0.847129377,1.342447975,2.304064745,0.45834014,0.233155828,0.486639935,1.473865461,1.388508798,1.641279149,1.058688296,1.027555871,2.550931088,3.075947504,1.265071761,1.393033238,1.966172992,3.009952815,1.16723702,1.943978699,0.66732752,0.282485587,0.742387672
Cell_39,5.643710455,5.269313861,2.321464981,5.404738611,3.904166172,1.622292176,0.43840349,0.295824018,3.992404788,0.846497991,1.946987143,1.211424903,0.38445858,0.936760215,0.388511845,6.194361085,2.235899533,1.191101232,1.863018388,2.122510755,2.127028186,2.054799691,1.929754512,1.280178509,3.767069099,1.353830791,1.222499371,1.364091437,1.450501789,0.151102058
Cell_40,3.610944081,3.129995404,3.192771622,3.791002268,3.833012452,0.266252493,0.619524909,3.170725098,1.878662595,1.791789932,2.882303184,0.491722902,0.26729734,2.591056161,1.086538014,0.477124035,0.149241449,1.377801856,0.973203989,0.821604559,0.037306664,3.730410346,0.205497615,0.90170026,0.761734707,1.924832531,0.151871918,1.740456524,1.383802993,0.587770441
Cell_41,4.979502727,4.570901517,8.045085478,3.829981298,3.494490844,1.754928008,0.860141738,1.165901464,0.270207621,1.949005811,0.72904865,1.478056204,5.22166604,0.919672101,2.169225557,0.981665503,0.596435834,3.254885275,0.088912374,2.628335488,0.070282533,2.420744037,1.182151348,0.409861477,0.77993099,2.076071441,4.868308971,0.161467439,0.4402439,0.238947029
Cell_42,4.806762937,6.519797986,3.73658269,3.978678625,5.41435226,0.768651183,1.395018692,3.075229101,0.350051305,0.107105396,1.547109135,1.583934251,0.715564151,0.578433436,1.203945655,0.342271088,0.342949111,2.065075008,0.313750182,0.119131169,0.577178152,0.733508768,1.740298906,0.6329733,3.476053868,1.261268484,0.493298282,1.679452249,3.429805814,2.019697872
Cell_43,3.090698211,4.151949405,4.048489174,5.113031686,4.142957043,0.853451303,4.378363172,2.043891423,1.683846691,0.661564944,0.336152025,1.708680369,2.226467354,1.160632708,2.048317066,2.090728752,2.345118024,0.175241904,0.821960468,1.795306188,1.221258428,2.095977073,1.683000302,0.044043756,2.798261076,0.722126866,0.460867677,2.726849339,1.968062399,3.026357958
Cell_44,4.66408678,3.300332613,4.452100119,4.255268476,3.002178158,0.610431345,3.731099633,0.678354927,0.123537793,1.00624888,0.669003212,2.837628293,3.534819971,0.774634026,1.470988353,1.578789989,1.114901189,0.935080896,0.426045213,0.092922676,0.423139393,1.078844072,0.196901772,1.405166205,1.243181424,0.670202141,0.897157034,0.250667415,2.311952813,2.280847238
Cell_45,3.443857962,2.404694848,3.556217281,4.977740137,4.632803848,2.70291498,2.940809501,0.171233762,1.814941287,2.85123566,0.841746039,1.14141189,0.988293936,1.030343791,2.305678473,4.260421164,3.385346854,0.703356533,1.475034475,0.508356835,0.568455092,1.095599732,0.551754547,0.645599318,1.44482842,1.793894786,1.754355182,1.768922132,0.275432822,0.521176917
Cell_46,4.573308109,5.612215671,9.623706668,4.084992935,5.854117873,0.235848481,2.086557727,0.519052367,0.668056965,2.3632036,1.194304713,0.078990089,0.710978085,3.523823558,0.890547976,0.889828939,2.245525144,1.573857335,0.844154146,0.622450993,8.130591243,3.093603765,1.768376359,1.863233374,1.036339131,1.557860688,0.935641208,0.46751076,1.610308138,0.85972604
Cell_47,4.788116743,4.916739062,4.040766484,2.870011483,3.946850773,0.876078048,2.56993688,2.466463621,0.555816487,0.266922592,6.240831298,1.699584415,0.221630002,0.656787113,2.654164675,5.188649222,4.578951169,1.640125808,1.17031643,0.37845649,1.261688382,0.442185738,0.779052225,2.361238452,0.93115357,0.871991427,1.113275311,6.904215476,0.330616578,1.496798762
Cell_48,6.925205344,4.607751638,6.193843049,2.530617184,4.341412771,0.498321323,1.099388618,1.121020716,1.230467294,2.34396346,0.033623395,0.626393061,1.410082819,0.086982474,1.972206398,0.613887077,0.978490928,2.428604972,3.156508149,2.021367577,0.318775761,1.940318772,2.047686514,1.733566512,3.551407933,1.259572272,3.449483683,3.433733759,2.094500656,1.517218362
Cell_49,4.660678688,7.111687828,6.271281546,2.67188671,4.089102358,0.469729052,0.59456227,0.810486893,0.211802655,0.435202688,3.69733724,0.590611488,2.3544601,1.362291279,1.872081962,1.937945106,0.412875757,2.34352207,0.277558615,0.564298034,1.915006212,0.381186758,0.071531126,1.586549363,0.161305318,2.064710708,0.869885847,1.567281797,1.542555921,2.189863892
Cell_50,5.123915658,2.527652321,3.6188156,5.05493672,6.441849663,1.975823715,3.271243748,1.63632573,2.786332307,1.457200328,2.698701315,0.826771837,3.801133964,1.794152387,0.213978246,1.610532602,1.98110456,2.407824199,4.806191393,0.701222003,4.829628061,1.170663003,0.534417589,0.717064397,1.886374327,0.451030345,0.840824878,1.576874566,3.779211274,2.353512812
Cell_51,3.527086828,4.973876954,4.24477633,2.961606724,9.053759262,3.823983549,1.088603049,0.743658097,0.322002263,1.976807943,1.98729366,0.495705673,1.462036974,2.295990916,0.693035992,0.967064842,0.958139963,0.531794112,0.985955699,0.166024804,0.911260433,0.924777003,1.101217232,1.764923021,0.289897409,0.364283158,0.516953064,0.252012239,1.934615976,0.662215384
Cell_52,4.420450832,3.327530148,4.268891263,4.377564381,4.327680327,0.383497211,1.081756473,0.478367013,1.045035233,0.606027381,4.476501974,2.285503341,1.645802488,0.890619732,2.338339236,1.110973865,4.144991318,2.52563508,0.813881493,3.799888808,0.895039071,4.668680058,3.951548468,1.515994787,0.175617948,1.416824214,0.337497521,0.625555072,0.675858913,0.333938259
Cell_53,4.571182294,3.804685311,4.397837718,4.39364521,5.364996266,1.666005587,0.864777527,1.844924015,3.061231599,0.05260641,0.642281919,0.419308187,0.58381463,0.048131921,0.685569003,3.4004957,1.325989658,1.806274266,12.62129161,4.196992381,1.118195046,0.765813109,0.653068663,1.559995553,0.772392574,0.322252327,0.678705914,1.59824978,2.074785807,4.519130304
Cell_54,4.70411486,6.680382037,4.561102164,4.453612811,3.252873856,1.414290082,2.379784891,0.740558366,0.445648557,2.532602845,2.391778596,3.589768988,0.628335607,0.935875226,2.608074826,0.731852374,2.004211088,0.972759873,1.552859464,0.314246656,1.261144822,3.01424212,2.223927133,0.412568602,4.254735581,2.873372635,0.333267526,0.683502457,0.357115752,1.590337427
Cell_55,3.901510797,3.768817173,3.692682962,5.257839936,4.254610856,1.857652526,1.396068209,2.150173122,1.50713628,1.039081674,1.270454405,3.69060671,1.945362893,0.410949258,1.252372218,1.566122724,1.00687452,0.081138297,0.462259331,0.774518637,4.624040491,1.77432665,0.166412055,1.068422451,3.264511578,0.643021092,2.686045307,0.174792916,3.002598219,0.734494464
Cell_56,3.890373458,4.107121194,4.750883615,3.271210622,2.585190459,1.231543657,1.71896909,0.405150909,0.957427955,0.640894576,1.425992242,2.919821792,0.83985545,0.223758357,0.555907977,4.223013533,0.464367715,0.290346465,0.789346183,1.068676439,0.683234472,0.176282726,1.549641569,1.42728632,2.086246027,1.399136403,3.965933702,2.220189871,1.871769407,3.003145761
Cell_57,4.362322859,3.785934366,3.68111869,3.35558387,4.484379199,1.067584844,1.68112146,2.69235138,1.917288258,0.557588927,2.356237963,4.009126718,2.747205453,0.253170907,1.900559512,0.307940742,0.886785924,1.63926462,1.459914173,2.70554346,4.023720885,1.781723951,0.821105395,0.080855761,3.24846409,1.072912645,1.126554431,1.21187514,1.713561744,1.756439512
Cell_58,3.983265737,4.3681151,3.789790307,3.188155709,3.915600541,1.051170209,0.441453063,0.806837429,0.275530116,1.288876301,0.626533569,1.731631611,0.311250853,0.113095603,1.065382287,0.772579229,0.243928321,2.221637272,0.384443346,0.528056009,2.569014888,1.816933573,0.334498218,0.844606177,0.292643483,2.42267803,2.42137057,4.468731804,5.77374079,0.618618542
Cell_59,5.565335688,2.542822524,4.818584114,4.547404686,3.717145447,0.577563024,2.434477871,1.725064048,4.052927582,3.706561022,0.136213569,0.686933699,0.360273052,2.191025226,1.500774401,0.391882175,0.470190324,3.103835857,0.770986191,0.061435928,0.350148744,4.688534907,2.628206081,0.268372606,1.377765526,2.501251125,2.724552263,1.711197242,0.540427117,1.947078431
Cell_60,4.595232255,4.524481138,4.603648109,3.283744768,4.094224678,0.927913949,1.217064069,2.043095021,4.770362935,1.434937693,2.013536458,2.401135082,2.131786464,0.430452436,3.328510501,2.942027449,1.317818366,0.461491744,1.19940593,0.162263029,3.66049026,0.611504676,0.882385151,3.467476138,3.16089412,1.571184732,4.075686445,0.414413027,1.571882168,0.418533771
Cell_61,6.427732993,5.456042349,7.206599393,3.979255574,8.369281871,0.378016306,1.109405982,0.394796396,1.391594076,0.437270135,2.811296024,1.758846734,0.339931219,2.320516082,3.864209801,1.903074286,0.225866219,1.013045349,2.107571961,0.923682244,0.372131439,3.063328134,0.885665703,3.865993522,0.690774037,0.835824923,0.635634634,0.996753076,1.734815365,0.396152429
Cell_62,3.966740363,2.294655135,2.394624851,3.187875067,3.778813188,1.369382996,1.654900253,1.314036477,3.540314759,4.409700727,0.889783699,0.404188318,5.415676575,2.98293821,2.815225447,0.657395964,2.366747164,1.323407205,1.088576957,1.086832046,1.802403847,3.627471202,5.741798433,0.78211224,1.390804914,1.063125323,1.703773596,0.942487096,0.578957338,0.783206035
Cell_63,3.196994764,4.10532768,2.882893968,3.457703477,5.324540578,1.679187226,1.461288336,3.392114917,1.746630165,3.308524347,5.744877201,2.414493601,0.255061055,1.51225631,1.325666846,3.861301579,1.050320564,0.495308539,0.723062276,0.268286362,5.085724103,1.187111844,0.303574622,4.123945352,4.65006131,1.366424521,0.236548755,0.741349889,0.946072101,1.224027498
Cell_64,3.183567265,5.393231307,3.115980379,6.455062443,6.374604109,0.81830441,1.098703985,3.722823472,2.0423267,0.847895214,0.950961428,1.810948753,4.753635957,0.979812251,0.822265019,1.216197644,1.222845064,1.551445073,1.102007556,3.044496523,0.452775473,1.70209835,1.759220163,0.501071763,1.687722269,1.798301084,0.014298755,0.403588145,3.959367143,0.644341519
Cell_65,3.02347535,3.385416062,3.766064237,4.63080697,3.257028277,2.064401314,0.490785493,1.561756276,3.540482046,3.374464595,1.538624746,0.330796851,1.128396866,1.582654611,6.525336545,0.094149762,1.132145814,2.004308913,1.304719663,1.43660086,0.52530452,2.538193957,1.223361246,1.431999534,2.754299358,0.873945014,3.234975121,0.26228052,1.504872531,0.488984658
Cell_66,3.589976798,8.108204464,3.372502208,4.905054951,3.578720225,3.083071585,0.788889289,2.742942063,1.948406042,5.842983296,0.187234662,0.39949608,2.627629532,1.568711597,0.937809088,5.076621574,1.167404351,0.510789739,2.769007858,1.203807777,1.291144814,2.086457678,2.153658441,0.392963319,0.885872052,0.223332679,1.588976618,4.651360209,0.413121846,0.167743238
Cell_67,4.549418642,4.388755284,4.205860533,3.638184003,3.804841924,0.708024758,0.980371451,0.491635865,0.329648499,2.233016772,0.760206517,1.716035569,0.482793462,1.174437487,0.052681618,0.819388894,0.543718157,2.987356453,0.267179954,1.019767586,1.572059317,2.669278768,2.385280257,1.098180577,1.247163171,2.985279376,1.078557048,1.370518613,3.06171303,6.436011508
Cell_68,4.157251522,4.65710608,5.762946802,5.819294295,6.419071083,0.651666136,1.564061465,2.736821208,3.544140423,1.021517811,1.531466278,1.687270427,1.209795143,1.497274309,9.34510134,0.981449014,1.055537532,0.141067807,0.105402637,1.789852242,2.745601587,2.360483431,0.481269986,2.250214379,1.039733525,0.810423637,0.23235328,0.552462502,1.825147982,1.549752941
Cell_69,4.023503878,2.896983631,3.750401313,4.363606014,5.348637008,3.110526148,0.746409378,1.281997047,5.054382857,1.49262224,1.142767691,0.490414446,2.300974533,0.398446436,3.216939614,2.041974635,0.665554744,0.509451585,0.523441764,0.108766679,1.753703271,0.054187258,1.076148241,1.011717622,0.848175606,1.743556877,0.667316295,1.373368227,3.216451361,1.921234172
Cell_70,3.709436183,3.434866065,3.745030064,4.114091582,4.09364416,0.217753245,0.151277113,0.443634811,1.814012917,2.026753526,2.279837651,0.46452779,1.275374514,0.800102811,1.038062131,0.785839856,1.482381113,0.582225945,2.94506861,2.965487406,1.767011362,2.681732618,0.205831165,3.079088152,1.626815173,0.620969725,0.555678705,3.909849316,2.309392962,1.012090663
Cell_71,4.377818719,7.113823956,2.458452616,3.237830467,4.240117978,0.546375887,0.96809098,1.159073745,0.948933845,1.546943365,4.019309408,0.217161359,1.345499358,0.337466439,0.188039423,2.523044943,1.449317578,0.170755432,0.967242068,0.445036401,1.000168035,2.086460588,1.915825084,0.791535824,2.617432565,3.411785281,2.11474189,0.663181655,1.031748615,3.924375595
Cell_72,3.3163196,5.012292746,3.543445706,5.612187912,3.980716552,1.074751109,1.8647905,4.537522573,1.426014888,0.905337275,0.839740755,2.541675675,1.740895078,2.052705192,3.71775996,1.232777839,1.638361371,0.828468555,0.515339659,0.633358433,0.021063025,1.849050569,1.692967074,1.816449245,0.477636662,0.645166191,0.623056191,2.836524632,1.379824939,1.2207403
Cell_73,6.113439955,3.823343471,3.998429425,8.049783837,5.897620414,1.583782129,1.262838727,1.803344794,3.532121341,3.344004539,3.987358062,1.449164418,4.72144738,0.514058813,2.180526582,1.197675102,0.853775649,3.994134771,1.601175015,1.186235516,1.75524576,0.005279654,0.6099958,0.714749431,1.993149347,0.393387369,1.394692441,1.083331109,0.646275993,0.692072481
